10:41:54 SYS @ POHK5CCD3:CDB$ROOT:>SELECT
10:42:03   2      ash.sample_time,
10:42:03   3      ash.session_id,
10:42:03   4      ash.session_serial#,
10:42:03   5      u.username,
10:42:03   6      ash.sql_id,
10:42:03   7      ash.event,
10:42:03   8      ash.blocking_session
10:42:03   9  FROM
10:42:03  10      dba_hist_active_sess_history ash, dba_users u
10:42:03  11  WHERE
10:42:03  12      ash.sample_time BETWEEN TO_DATE('2024-05-20 13:00:00', 'YYYY-MM-DD HH24:MI:SS')
10:42:03  13                          AND TO_DATE('2024-05-20 14:00:00', 'YYYY-MM-DD HH24:MI:SS')
10:42:03  14  	AND ash.user_id=u.user_id
10:42:03  15  	AND ash.blocking_session is not null
10:42:03  16      AND ash.event LIKE 'enq: TX%' order by 1;

"SAMPLE_TIME","SESSION_ID","SESSION_SERIAL#","USERNAME","SQL_ID","EVENT","BLOCKING_SESSION"
"20-MAY-24 13.05.02.829",1284,11965,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.05.12.893",14931,60442,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.05.12.893",11799,4958,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.05.12.893",9586,4660,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.05.12.893",1284,11965,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.05.12.893",14931,60442,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.05.12.893",11799,4958,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.05.12.893",9586,4660,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.05.12.893",1284,11965,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.05.22.954",14931,60442,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.05.22.954",1284,11965,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.05.22.954",11799,4958,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.05.22.954",9586,4660,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.05.22.954",14931,60442,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.05.22.954",9586,4660,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.05.22.954",1284,11965,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.05.22.954",11799,4958,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.05.33.015",14931,60442,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.05.33.015",14931,60442,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.05.33.015",11799,4958,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.05.33.015",9586,4660,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.05.33.015",1284,11965,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.05.33.015",11799,4958,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.05.33.015",1284,11965,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.05.33.015",9586,4660,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.05.43.078",1284,11965,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.05.43.078",4885,33937,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.05.43.078",11799,4958,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.05.43.078",9586,4660,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.05.43.078",13827,25016,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.05.43.078",14931,60442,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.05.43.078",14931,60442,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.05.43.078",13827,25016,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.05.43.078",11799,4958,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.05.43.078",9586,4660,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.05.43.078",4885,33937,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.05.43.078",1284,11965,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.05.53.138",4885,33937,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.05.53.138",1284,11965,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.05.53.138",9586,4660,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.05.53.138",1284,11965,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.05.53.138",14931,60442,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.05.53.138",11799,4958,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.05.53.138",11799,4958,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.05.53.138",9586,4660,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.05.53.138",4885,33937,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.05.53.138",14931,60442,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.05.53.138",13827,25016,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.05.53.138",13827,25016,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.03.194",9586,4660,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.03.194",11799,4958,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.03.194",13827,25016,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.03.194",14931,60442,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.03.194",13827,25016,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.03.194",14931,60442,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.03.194",1284,11965,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.03.194",2066,30369,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.03.194",3940,44027,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.03.194",4885,33937,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.03.194",1284,11965,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.03.194",2066,30369,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.03.194",3940,44027,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.03.194",4885,33937,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.03.194",9586,4660,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.03.194",11799,4958,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.13.622",1284,11965,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.13.622",14931,60442,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.13.622",3940,44027,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.13.622",4885,33937,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.13.622",9586,4660,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.13.622",11799,4958,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.13.622",13827,25016,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.13.622",14931,60442,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.13.622",1284,11965,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.13.622",2066,30369,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.13.622",3940,44027,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.13.622",4885,33937,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.13.622",9586,4660,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.13.622",11799,4958,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.13.622",13827,25016,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.13.622",2066,30369,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.23.686",1284,11965,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.23.686",14931,60442,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.23.686",3940,44027,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.23.686",4885,33937,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.23.686",5675,41777,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.23.686",5981,5977,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.23.686",9586,4660,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.23.686",11799,4958,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.23.686",13370,18752,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.23.686",13827,25016,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.23.686",14931,60442,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.23.686",1284,11965,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.23.686",2066,30369,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.23.686",3940,44027,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.23.686",4885,33937,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.23.686",5675,41777,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.23.686",5981,5977,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.23.686",9586,4660,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.23.686",11799,4958,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.23.686",13370,18752,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.23.686",13827,25016,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.23.686",2066,30369,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.33.749",1284,11965,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.33.749",14931,60442,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.33.749",3940,44027,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.33.749",4885,33937,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.33.749",5675,41777,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.33.749",5981,5977,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.33.749",7864,64791,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.33.749",9586,4660,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.33.749",11799,4958,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.33.749",11937,1421,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.33.749",13370,18752,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.33.749",13827,25016,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.33.749",14931,60442,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.33.749",1284,11965,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.33.749",2066,30369,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.33.749",3940,44027,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
